Hari,Jam,Menit,Motor,Mobil,Bus,Truk,Total_Kendaraan,Tingkat_Kepadatan
Selasa,17,10,430,209,8,1,648,0
Selasa,17,20,430,206,3,5,644,0
Selasa,17,30,231,181,4,1,417,0
Selasa,17,40,119,198,1,0,318,0
Selasa,17,50,14,108,2,0,124,0
Selasa,17,60,12,81,0,0,93,3
Selasa,18,10,21,68,0,0,89,1
Selasa,18,20,10,69,1,0,80,2
Selasa,18,30,13,67,0,0,80,1
Selasa,18,40,20,76,0,0,96,1
Selasa,18,50,23,79,0,0,102,0
Selasa,18,60,13,82,0,0,95,0
Selasa,19,10,11,59,1,0,71,0
Selasa,19,20,11,72,0,0,83,0
Selasa,19,30,35,113,0,0,148,0
Selasa,19,40,20,87,0,0,107,0
Selasa,19,50,22,67,0,0,89,1
Selasa,19,60,28,99,1,0,128,0
Rabu,6,10,345,74,3,1,423,0
Rabu,6,20,428,77,4,1,510,0
Rabu,6,30,482,90,10,3,585,0
Rabu,6,40,509,83,2,2,596,0
Rabu,6,50,528,98,6,2,634,0
Rabu,6,60,590,93,6,0,689,0
Rabu,7,10,663,101,8,4,776,0
Rabu,7,20,720,111,9,2,842,1
Rabu,7,30,719,124,8,3,854,2
Rabu,7,40,596,138,6,0,740,1
Rabu,7,50,657,139,5,3,804,0
Rabu,7,60,557,150,3,2,712,2
Rabu,8,10,456,123,6,3,588,2
Rabu,8,20,475,139,2,0,616,3
Rabu,8,30,499,118,6,1,624,1
Rabu,8,40,479,157,13,2,651,1
Rabu,8,50,436,132,3,2,573,2
Rabu,8,60,502,145,5,4,656,1
Rabu,15,10,586,234,9,4,833,0
Rabu,15,20,590,222,9,3,824,0
Rabu,15,30,490,233,4,0,727,0
Rabu,15,40,601,201,5,2,809,0
Rabu,15,50,583,254,11,3,851,0
Rabu,15,60,579,219,7,0,805,0
Rabu,16,10,653,221,5,2,881,0
Rabu,16,20,726,254,15,2,997,0
Rabu,16,30,704,245,4,1,954,0
Rabu,16,40,733,234,4,2,973,0
Rabu,16,50,769,268,4,1,1042,0
Rabu,16,60,695,246,4,6,951,0
Rabu,17,10,579,230,6,2,817,0
Rabu,17,20,631,242,6,1,880,1
Rabu,17,30,514,284,4,2,804,4
Rabu,17,40,300,296,3,2,601,1
Rabu,17,50,55,199,0,1,255,2
Rabu,17,60,45,133,2,0,180,1
Rabu,18,10,18,92,0,0,110,0
Rabu,18,20,22,98,1,0,121,0
Rabu,18,30,18,80,0,0,98,1
Rabu,18,40,26,73,1,0,100,1
Rabu,18,50,34,109,0,0,143,2
Rabu,18,60,19,79,0,0,98,1
Rabu,19,10,10,88,0,0,98,2
Rabu,19,20,20,99,1,0,120,1
Rabu,19,30,14,65,0,0,79,0
Rabu,19,40,18,70,1,0,89,0
Rabu,19,50,12,77,0,0,89,1
Rabu,19,60,29,77,3,0,109,0
Kamis,6,10,291,75,3,2,371,0
Kamis,6,20,456,71,8,1,536,0
Kamis,6,30,495,87,3,2,587,0
Kamis,6,40,459,105,8,1,573,0
Kamis,6,60,658,107,11,1,777,0
Kamis,7,10,654,119,5,2,780,0
Kamis,7,30,839,168,8,2,1017,0
Kamis,7,40,668,113,10,2,793,0
Kamis,7,50,704,129,7,1,841,0
Kamis,7,60,705,148,8,3,864,0
Kamis,8,10,528,142,5,0,675,0
Kamis,8,20,498,146,6,1,651,0
Kamis,8,30,521,128,7,6,662,0
Kamis,8,40,545,161,7,4,717,0
Kamis,8,50,525,150,10,4,689,0
Kamis,8,60,548,154,8,3,713,0
Kamis,15,10,525,218,17,0,760,0
Kamis,15,20,494,226,7,6,733,0
Kamis,15,30,670,232,13,4,919,0
Kamis,15,40,679,245,12,5,941,0
Kamis,15,50,704,241,5,9,959,0
Kamis,15,60,619,222,10,4,855,0
Kamis,16,10,715,243,8,10,976,0
Kamis,16,20,752,251,3,3,1009,0
Kamis,16,30,828,227,6,4,1065,0
Kamis,16,40,800,257,5,5,1067,0
Kamis,16,50,875,275,7,6,1163,0
Kamis,16,60,850,228,7,3,1088,0
Kamis,17,10,570,217,4,5,796,2
Kamis,17,20,527,268,5,3,803,2
Kamis,17,30,147,218,4,1,370,4
Kamis,17,40,50,203,0,1,254,4
Kamis,17,50,43,156,1,0,200,3
Kamis,17,60,44,136,0,0,180,2
Kamis,18,10,51,145,2,0,198,0
Kamis,18,20,31,114,0,0,145,2
Kamis,18,30,20,90,2,0,112,1
Kamis,18,40,17,69,0,0,86,0
Kamis,18,50,15,99,0,0,114,2
Kamis,18,60,28,94,0,0,122,2
Kamis,19,10,13,68,1,0,82,3
Kamis,19,20,28,68,2,0,98,0
Kamis,19,30,26,83,2,0,111,1
Kamis,19,40,17,62,0,0,79,0
Kamis,19,50,19,86,0,0,105,0
Kamis,19,60,24,69,1,0,94,1
Jumat,6,10,289,61,3,4,357,0
Jumat,6,20,425,74,1,0,500,0
Jumat,6,30,485,72,3,0,560,0
Jumat,6,40,666,90,8,2,766,0
Jumat,6,50,579,99,4,1,683,0
Jumat,6,60,675,96,8,2,781,0
Jumat,7,10,678,110,7,1,796,0
Jumat,7,20,815,104,8,5,932,0
Jumat,7,50,782,131,9,3,925,0
Sabtu,6,30,397,69,5,1,472,0
Sabtu,6,40,397,77,4,2,480,0
Sabtu,6,50,411,89,5,3,508,0
Sabtu,6,60,447,81,2,1,531,0
Sabtu,7,10,477,86,11,1,575,0
Sabtu,7,20,423,94,6,1,524,0
Sabtu,7,30,485,118,7,3,613,2
Sabtu,7,40,493,97,5,4,599,0
Sabtu,7,50,582,117,8,2,709,1
Sabtu,7,60,663,136,4,2,805,1
Sabtu,8,10,571,141,12,2,726,1
Sabtu,8,20,533,128,8,4,673,1
Sabtu,8,30,601,179,12,2,794,0
Sabtu,8,40,615,189,12,4,820,0
Sabtu,8,50,556,141,6,2,705,0
Sabtu,8,60,534,152,6,5,697,0
Sabtu,15,10,426,259,8,2,695,0
Sabtu,15,20,517,208,4,2,731,0
Sabtu,15,30,620,261,9,7,897,0
Sabtu,15,40,723,255,6,5,989,0
Sabtu,15,50,613,259,5,11,888,0
Sabtu,15,60,639,276,3,3,921,0
Sabtu,16,10,719,271,8,3,1001,0
Sabtu,16,20,688,263,4,7,962,0
Sabtu,16,30,637,236,4,3,880,0
Sabtu,16,40,812,216,4,5,1037,0
Sabtu,16,50,629,249,6,1,885,0
Sabtu,16,60,545,237,3,1,786,0
Sabtu,17,10,503,238,3,5,749,0
Sabtu,17,20,374,247,2,2,625,0
Sabtu,17,30,249,221,4,0,474,0
Sabtu,17,40,37,165,0,0,202,1
Sabtu,17,50,26,123,1,0,150,1
Sabtu,17,60,16,111,0,0,127,0
Sabtu,18,10,19,92,0,0,111,1
Sabtu,18,20,18,77,2,0,97,1
Sabtu,18,30,22,86,0,0,108,0
Sabtu,18,40,23,98,0,0,121,1
Sabtu,18,50,33,91,0,0,124,2
Sabtu,18,60,24,101,1,0,126,2
Sabtu,19,10,22,81,0,0,103,1
Sabtu,19,20,14,97,0,0,111,0
Sabtu,19,30,14,107,1,0,122,1
Sabtu,19,40,20,68,0,0,88,2
Sabtu,19,50,17,106,0,0,123,1
Sabtu,19,60,21,120,0,0,141,1
Minggu,6,10,336,88,7,3,434,0
Minggu,6,20,371,100,6,1,478,0
Minggu,6,30,411,112,8,0,531,0
Minggu,6,40,473,122,8,2,605,0
Minggu,6,50,417,113,4,1,535,0
Minggu,6,60,386,123,10,0,519,0
Minggu,7,10,344,116,3,1,464,0
Minggu,7,20,313,100,5,1,419,0
Minggu,7,30,317,128,10,4,459,0
Minggu,7,40,251,129,8,1,389,0
Minggu,7,50,302,160,4,0,466,0
Minggu,7,60,394,184,5,3,586,0
Minggu,8,10,402,171,8,3,584,1
Minggu,8,20,347,154,10,0,511,0
Minggu,8,30,395,190,9,0,594,0
Minggu,8,40,450,206,10,0,666,0
Minggu,8,50,523,195,5,1,724,0
Minggu,8,60,585,224,4,3,816,1
Minggu,15,10,443,214,13,3,673,2
Minggu,15,20,516,231,14,1,762,1
Minggu,15,30,570,178,6,0,754,1
Minggu,15,40,496,246,11,0,753,1
Minggu,15,50,515,228,6,0,749,0
Minggu,15,60,602,231,11,1,845,1
Minggu,16,10,515,203,7,0,725,0
Minggu,16,20,502,210,3,1,716,0
Minggu,16,30,606,218,8,2,834,2
Minggu,16,40,506,194,6,0,706,1
Minggu,16,50,590,242,8,1,841,2
Minggu,16,60,438,197,2,2,639,0
Minggu,17,10,447,202,9,3,661,1
Minggu,17,20,424,199,8,1,632,0
Minggu,17,30,291,219,6,3,519,1
Minggu,17,40,120,161,0,1,282,0
Minggu,17,50,33,142,1,0,176,3
Minggu,17,60,13,73,0,0,86,0
Minggu,18,10,20,70,1,0,91,1
Minggu,18,20,25,82,0,0,107,0
Minggu,18,30,20,83,0,0,103,0
Minggu,18,40,23,81,0,0,104,2
Minggu,18,50,15,106,1,0,122,0
Minggu,18,60,12,63,1,0,76,0
Minggu,19,10,24,87,0,0,111,1
Minggu,19,20,23,100,0,0,123,0
Minggu,19,30,19,90,0,0,109,0
Minggu,19,40,21,82,2,0,105,1
Minggu,19,50,18,87,0,0,105,1
Minggu,19,60,28,111,2,0,141,0
